City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tabou,CI,76.82,light rain,4.423,-7.3528,hotêl doufoulougou
5,Touros,BR,75.58,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
15,Port-Gentil,GA,77.36,overcast clouds,-0.7193,8.7815,Fengshui Residence
17,Sur,OM,88.95,clear sky,22.5667,59.5289,Sur Plaza Hotel
20,Amahai,ID,82.96,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
22,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
28,Nishihara,JP,76.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
30,Gigmoto,PH,86.0,broken clouds,13.7796,124.39,Cj's Travellers Inn
31,Rikitea,PF,75.06,clear sky,-23.1203,-134.9692,People ThankYou
32,Abu Zabad,SD,80.96,few clouds,12.35,29.25,حامد محمد نور
35,Hilo,US,89.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
53,Fuerte Olimpo,PY,75.63,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
55,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
56,Salalah,OM,79.81,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
58,Tutoia,BR,76.5,few clouds,-2.7619,-42.2744,Pousada Guará's
63,Limbang,MY,82.51,overcast clouds,4.75,115.0,Purnama Hotel
66,Yarada,IN,82.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
75,Dingle,PH,85.5,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
77,Avarua,CK,78.71,few clouds,-21.2078,-159.775,Paradise Inn
78,Tucumcari,US,75.04,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
81,Sola,VU,81.23,scattered clouds,-13.8833,167.55,Leumerus Bungalows
82,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
84,Maningrida,AU,82.2,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
98,Faanui,PF,80.74,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
