City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tabou,CI,4.423,-7.3528,76.82,85,99,5.17,light rain
1,Mataura,NZ,-46.1927,168.8643,50.49,69,29,3.27,scattered clouds
2,Busselton,AU,-33.65,115.3333,57.85,77,0,5.03,clear sky
3,Paita,PE,-5.0892,-81.1144,66.43,80,18,13.33,few clouds
4,Aubenas,FR,44.6201,4.3899,52.79,71,12,7.34,few clouds
5,Touros,BR,-5.1989,-35.4608,75.58,89,98,10.49,overcast clouds
6,Albany,US,42.6001,-73.9662,65.79,61,100,4.72,overcast clouds
7,Hermanus,ZA,-34.4187,19.2345,58.8,93,84,2.35,light rain
8,Narsaq,GL,60.9167,-46.05,39.42,67,0,2.98,clear sky
9,Jamestown,US,42.097,-79.2353,69.39,68,100,13.8,overcast clouds
10,Yellowknife,CA,62.456,-114.3525,57.72,26,20,6.91,few clouds
11,Lagoa,PT,39.05,-27.9833,61.05,78,0,14.88,clear sky
12,Pevek,RU,69.7008,170.3133,31.69,91,99,7.2,overcast clouds
13,Provideniya,RU,64.3833,-173.3,32.11,100,20,8.95,fog
14,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,20,2.3,few clouds
15,Port-Gentil,GA,-0.7193,8.7815,77.36,78,100,12.75,overcast clouds
16,Cherskiy,RU,68.75,161.3,44.35,57,8,13.24,clear sky
17,Sur,OM,22.5667,59.5289,88.95,44,0,11.68,clear sky
18,Konongo,GH,6.6167,-1.2167,69.98,99,36,1.97,light rain
19,Mackenzie,CA,55.2999,-123.1698,53.82,62,75,10.36,broken clouds
20,Amahai,ID,-3.3333,128.9167,82.96,72,44,4.72,scattered clouds
21,Otane,NZ,-39.8833,176.6333,52.02,75,100,6.96,overcast clouds
22,Kapaa,US,22.0752,-159.319,80.58,69,0,14.97,clear sky
23,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,88,0,4.61,clear sky
24,Tynda,RU,55.1667,124.7167,62.29,54,100,2.44,overcast clouds
25,Vaini,TO,-21.2,-175.2,82.56,74,20,11.5,few clouds
26,Upernavik,GL,72.7868,-56.1549,24.89,61,99,5.44,overcast clouds
27,Aklavik,CA,68.2191,-135.0107,50.99,52,15,0.85,few clouds
28,Nishihara,JP,26.1842,127.7558,76.28,88,75,5.75,broken clouds
29,Mar Del Plata,AR,-38.0023,-57.5575,50.95,58,40,3.44,scattered clouds
30,Gigmoto,PH,13.7796,124.39,86.0,70,81,8.46,broken clouds
31,Rikitea,PF,-23.1203,-134.9692,75.06,75,6,4.09,clear sky
32,Abu Zabad,SD,12.35,29.25,80.96,11,24,6.78,few clouds
33,Jacareacanga,BR,-6.2222,-57.7528,73.85,91,77,0.47,broken clouds
34,Nurota,UZ,40.5614,65.6886,71.22,45,99,9.86,overcast clouds
35,Hilo,US,19.7297,-155.09,89.28,72,75,12.66,broken clouds
36,Punta Arenas,CL,-53.15,-70.9167,42.91,75,40,32.21,scattered clouds
37,New Norfolk,AU,-42.7826,147.0587,54.91,85,100,2.93,overcast clouds
38,Crossville,US,35.949,-85.0269,69.19,89,75,8.99,broken clouds
