City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Billings,US,2022-05-23 18:15:35,45.7833,-108.5007,62.29,27,75,3.44
1,Esperance,AU,2022-05-23 18:19:06,-33.8667,121.9,58.84,66,64,26.46
2,Kununurra,AU,2022-05-23 18:19:07,-15.7667,128.7333,62.58,82,39,0.0
3,Ushuaia,AR,2022-05-23 18:15:32,-54.8,-68.3,38.82,69,40,4.61
4,Upernavik,GL,2022-05-23 18:19:07,72.7868,-56.1549,30.83,93,100,1.7
5,Ouargaye,BF,2022-05-23 18:19:08,11.5033,0.0572,79.88,60,99,4.61
6,Puerto Del Rosario,ES,2022-05-23 18:19:08,28.5004,-13.8627,71.35,73,75,19.57
7,Rikitea,PF,2022-05-23 18:17:31,-23.1203,-134.9692,75.94,75,29,13.53
8,Albany,US,2022-05-23 18:19:10,42.6001,-73.9662,67.59,45,98,1.01
9,Codrington,AU,2022-05-23 18:19:11,-38.2667,141.9667,49.1,85,4,6.69
10,Inuvik,CA,2022-05-23 18:19:11,68.3499,-133.7218,22.06,73,75,4.61
11,Aasiaat,GL,2022-05-23 18:19:11,68.7098,-52.8699,32.97,81,91,18.9
12,Zelenogorskiy,RU,2022-05-23 18:19:12,55.0333,87.0,48.47,67,0,2.17
13,Nikolskoye,RU,2022-05-23 18:19:12,59.7035,30.7861,55.29,71,41,5.03
14,Hobart,AU,2022-05-23 18:15:02,-42.8794,147.3294,45.05,91,100,6.91
15,Flinders,AU,2022-05-23 18:14:55,-34.5833,150.8552,57.18,93,100,4.0
16,Salalah,OM,2022-05-23 18:19:13,17.0151,54.0924,84.29,84,75,6.91
17,Bluff,NZ,2022-05-23 18:19:14,-46.6,168.3333,51.8,76,90,25.79
18,Hami,CN,2022-05-23 18:19:15,42.8,93.45,84.56,12,100,11.01
19,Kushima,JP,2022-05-23 18:19:15,31.4583,131.2333,62.53,90,15,6.6
20,Chancay,PE,2022-05-23 18:19:16,-11.5714,-77.2672,68.29,71,37,9.37
21,Troitskoye,RU,2022-05-23 18:19:17,52.9821,84.6757,50.86,63,0,5.84
22,Val,HU,2022-05-23 18:19:17,47.3626,18.6793,70.14,65,96,4.07
23,Surab,PK,2022-05-23 18:19:18,28.4914,66.2585,65.26,10,0,7.58
24,Barrow,US,2022-05-23 18:15:01,71.2906,-156.7887,21.22,86,100,19.57
